TEMPO_SWATH_POINT product,TEMPO_SWATH_POINT start time,TEMPO_SWATH_POINT end time,TEMPO_SWATH_POINT duration,TEMPO_SWATH_POINT product type,TEMPO_SWATH_POINT product path,(bl lat. bl lon),(tl lat. tl lon),(tr lat. tr lon),(br lat. br lon),segment_id
CS_OFFL_THEM_POINT_GREENLAND_2021_12_-200000___-3100000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_-200000___-3100000__V202.nc,(61.87915802001953. -48.69138717651367),(62.74950408935547. -48.8140754699707),(62.79313659667969. -46.90915298461914),(61.921234130859375. -46.84761047363281),3033
CS_OFFL_THEM_POINT_GREENLAND_2021_12_-400000___-1400000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_-400000___-1400000__V202.nc,(76.61775970458984. -60.945396423339844),(77.49200439453125. -62.10272979736328),(77.72915649414062. -57.9946174621582),(76.83865356445312. -57.094757080078125),3034
CS_OFFL_THEM_POINT_GREENLAND_2021_12_-400000___-1100000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/GREENLAND/CS_OFFL_THEM_POINT_GREENLAND_2021_12_-400000___-1100000__V202.nc,(79.22563934326172. -64.98310852050781),(80.08145141601562. -66.80140686035156),(80.38397979736328. -61.69924545288086),(79.50299072265625. -60.25511932373047),3035
CS_OFFL_THEM_POINT_ICELAND___2021_12_+1200000__-2700000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/ICELAND/CS_OFFL_THEM_POINT_ICELAND___2021_12_+1200000__-2700000__V202.nc,(63.20431137084961. -21.037511825561523),(64.00299835205078. -20.2248592376709),(63.622825622558594. -18.434947967529297),(62.836849212646484. -19.29004669189453),3036
CS_OFFL_THEM_POINT_ARCCANSOU_2021_12_-900000___-2100000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/ARCCANSOU/CS_OFFL_THEM_POINT_ARCCANSOU_2021_12_-900000___-2100000__V202.nc,(69.13341522216797. -68.19859313964844),(69.9530029296875. -69.22774505615234),(70.30365753173828. -66.80140686035156),(69.46894073486328. -65.85446166992188),3037
CS_OFFL_THEM_POINT_ARCCANSOU_2021_12_-900000___-2400000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/ARCCANSOU/CS_OFFL_THEM_POINT_ARCCANSOU_2021_12_-900000___-2400000__V202.nc,(66.6537857055664. -65.55604553222656),(67.4830551147461. -66.37062072753906),(67.79142761230469. -64.17900848388672),(66.9499282836914. -63.4349479675293),3038
CS_OFFL_THEM_POINT_ARCCANSOU_2021_12_-900000___-2000000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/ARCCANSOU/CS_OFFL_THEM_POINT_ARCCANSOU_2021_12_-900000___-2000000__V202.nc,(69.9530029296875. -69.22774505615234),(70.7676773071289. -70.34617614746094),(71.1346435546875. -67.83365631103516),(70.30365753173828. -66.80140686035156),3039
CS_OFFL_THEM_POINT_ARCCANSOU_2021_12_-900000___-2600000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/ARCCANSOU/CS_OFFL_THEM_POINT_ARCCANSOU_2021_12_-900000___-2600000__V202.nc,(64.99016571044922. -64.09349060058594),(65.82263946533203. -64.79887390136719),(66.10735321044922. -62.74467086791992),(65.26416778564453. -62.10272979736328),3040
CS_OFFL_THEM_POINT_ARCCANSOU_2021_12_-900000___-2300000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/ARCCANSOU/CS_OFFL_THEM_POINT_ARCCANSOU_2021_12_-900000___-2300000__V202.nc,(67.4830551147461. -66.37062072753906),(68.30982971191406. -67.2490234375),(68.63130187988281. -64.98310852050781),(67.79142761230469. -64.17900848388672),3041
CS_OFFL_THEM_POINT_ARCCANSOU_2021_12_-900000___-2200000__V202,2021-12-01T00:00:00+00:00,2021-12-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2021/12/ARCCANSOU/CS_OFFL_THEM_POINT_ARCCANSOU_2021_12_-900000___-2200000__V202.nc,(68.30982971191406. -67.2490234375),(69.13341522216797. -68.19859313964844),(69.46894073486328. -65.85446166992188),(68.63130187988281. -64.98310852050781),3042
