TEMPO_SWATH_POINT product,TEMPO_SWATH_POINT start time,TEMPO_SWATH_POINT end time,TEMPO_SWATH_POINT duration,TEMPO_SWATH_POINT product type,TEMPO_SWATH_POINT product path,(bl lat. bl lon),(tl lat. tl lon),(tr lat. tr lon),(br lat. br lon),segment_id
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2200000__+100000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2200000__+100000___V202.nc,(-69.93050384521484. 87.3974380493164),(-69.86974334716797. 84.80557250976562),(-68.98111724853516. 85.03025817871094),(-69.0390853881836. 87.51044464111328),1
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1800000__+800000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1800000__+800000___V202.nc,(-72.01409149169922. -66.03751373291016),(-71.630615234375. -63.4349479675293),(-72.42984008789062. -62.10272979736328),(-72.83231353759766. -64.79887390136719),2
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1100000__+300000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1100000__+300000___V202.nc,(-79.53423309326172. -74.74488067626953),(-79.25769805908203. -70.01689147949219),(-80.1109848022461. -68.19859313964844),(-80.41262817382812. -73.3007583618164),3
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+500000___+1700000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+500000___+1700000__V202.nc,(-73.79559326171875. 16.38953971862793),(-72.928466796875. 15.524110794067383),(-72.66539001464844. 18.434947967529297),(-73.51788330078125. 19.440034866333008),4
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-1700000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-1700000__V202.nc,(-74.0265884399414. 166.7594757080078),(-74.90532684326172. 165.96376037597656),(-74.66043853759766. 162.64598083496094),(-73.79559326171875. 163.61045837402344),5
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1700000__+400000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1700000__+400000___V202.nc,(-74.0265884399414. -76.75948333740234),(-73.79559326171875. -73.61045837402344),(-74.66043853759766. -72.6459732055664),(-74.90532684326172. -75.96375274658203),6
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-1600000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-1600000__V202.nc,(-74.90532684326172. 165.96376037597656),(-75.78253173828125. 165.06858825683594),(-75.52215576171875. 161.56504821777344),(-74.66043853759766. 162.64598083496094),7
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+500000___-1900000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+500000___-1900000__V202.nc,(-72.05978393554688. 165.25643920898438),(-72.928466796875. 164.47589111328125),(-72.66539001464844. 161.56504821777344),(-71.81000518798828. 162.47442626953125),8
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-2600000__+1300000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-2600000__+1300000__V202.nc,(-63.6991081237793. -63.4349479675293),(-63.2964973449707. -61.69924545288086),(-64.0629653930664. -60.75117492675781),(-64.47935485839844. -62.525569915771484),9
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-1800000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-1800000__V202.nc,(-73.1469497680664. 167.47119140625),(-74.0265884399414. 166.7594757080078),(-73.79559326171875. 163.61045837402344),(-72.928466796875. 164.47589111328125),10
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___+1700000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___+1700000__V202.nc,(-74.0265884399414. 13.240519523620605),(-73.1469497680664. 12.528807640075684),(-72.928466796875. 15.524110794067383),(-73.79559326171875. 16.38953971862793),11
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+500000___+2000000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+500000___+2000000__V202.nc,(-71.19012451171875. 14.036243438720703),(-70.32000732421875. 13.392498016357422),(-70.093505859375. 15.945395469665527),(-70.9524917602539. 16.699243545532227),12
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1700000__+500000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1700000__+500000___V202.nc,(-73.79559326171875. -73.61045837402344),(-73.51788330078125. -70.55996704101562),(-74.3665771484375. -69.44395446777344),(-74.66043853759766. -72.6459732055664),13
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-2600000__+1400000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-2600000__+1400000__V202.nc,(-63.2964973449707. -61.69924545288086),(-62.871646881103516. -60.01836013793945),(-63.6240234375. -59.0362434387207),(-64.0629653930664. -60.75117492675781),14
CS_OFFL_THEM_POINT_ANTARCPER_2022_01_+2600000__-600000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCPER/CS_OFFL_THEM_POINT_ANTARCPER_2022_01_+2600000__-600000___V202.nc,(-65.79362487792969. 102.99461364746094),(-65.97606658935547. 100.88552856445312),(-65.11072540283203. 100.4914779663086),(-64.93531036376953. 102.52880859375),15
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-1900000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-1900000__V202.nc,(-72.26692962646484. 168.11134338378906),(-73.1469497680664. 167.47119140625),(-72.928466796875. 164.47589111328125),(-72.05978393554688. 165.25643920898438),16
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-2600000__+1500000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-2600000__+1500000__V202.nc,(-62.871646881103516. -60.01836013793945),(-62.42578125. -58.39249801635742),(-63.163822174072266. -57.38075637817383),(-63.6240234375. -59.0362434387207),17
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-600000___-700000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-600000___-700000___V202.nc,(-81.52947998046875. -139.39871215820312),(-82.20201110839844. -135.0),(-82.82073974609375. -140.19442749023438),(-82.09477233886719. -144.4623260498047),18
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1700000__+300000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1700000__+300000___V202.nc,(-74.20870971679688. -79.99201965332031),(-74.0265884399414. -76.75948333740234),(-74.90532684326172. -75.96375274658203),(-75.09870147705078. -79.3803482055664),19
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1700000__+200000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1700000__+200000___V202.nc,(-74.34014892578125. -83.2901611328125),(-74.20870971679688. -79.99201965332031),(-75.09870147705078. -79.3803482055664),(-75.23844146728516. -82.87498474121094),20
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-700000___+1100000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-700000___+1100000__V202.nc,(-78.04174041748047. -32.47119140625),(-77.26444244384766. -30.256437301635742),(-77.69757080078125. -26.565052032470703),(-78.5050048828125. -28.61046028137207),21
CS_OFFL_THEM_POINT_ANTARCPER_2022_01_+2600000__-700000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCPER/CS_OFFL_THEM_POINT_ANTARCPER_2022_01_+2600000__-700000___V202.nc,(-65.57996368408203. 105.06848907470703),(-65.79362487792969. 102.99461364746094),(-64.93531036376953. 102.52880859375),(-64.72977447509766. 104.53445434570312),22
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-600000___-800000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-600000___-800000___V202.nc,(-80.81526184082031. -143.13009643554688),(-81.52947998046875. -139.39871215820312),(-82.09477233886719. -144.4623260498047),(-81.33318328857422. -147.99461364746094),23
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2200000__+400000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2200000__+400000___V202.nc,(-69.62866973876953. 79.69515228271484),(-69.44986724853516. 77.19573211669922),(-68.58009338378906. 77.7352294921875),(-68.75094604492188. 80.13419342041016),24
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-600000___-900000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-600000___-900000___V202.nc,(-80.06865692138672. -146.3099365234375),(-80.81526184082031. -143.13009643554688),(-81.33318328857422. -147.99461364746094),(-80.5448989868164. -150.9453887939453),25
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1100000__-1300000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1100000__-1300000__V202.nc,(-74.4195785522461. -139.76364135742188),(-75.09870147705078. -137.4895477294922),(-75.6951904296875. -140.19442749023438),(-74.98788452148438. -142.43141174316406),26
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2200000__+1100000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2200000__+1100000__V202.nc,(-67.63874816894531. 63.4349479675293),(-67.2281494140625. 61.38954162597656),(-66.44759368896484. 62.44718933105469),(-66.84291076660156. 64.44003295898438),27
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2200000__+200000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2200000__+200000___V202.nc,(-69.86974334716797. 84.80557250976562),(-69.7689208984375. 82.23483276367188),(-68.88488006591797. 82.56858825683594),(-68.98111724853516. 85.03025817871094),28
CS_OFFL_THEM_POINT_ANTARCPER_2022_01_+300000___-1400000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCPER/CS_OFFL_THEM_POINT_ANTARCPER_2022_01_+300000___-1400000__V202.nc,(-76.8777084350586. 167.90524291992188),(-77.76560974121094. 167.00538635253906),(-77.5291519165039. 162.89727783203125),(-76.65745544433594. 164.0546112060547),29
CS_OFFL_THEM_POINT_ANTARCPER_2022_01_+200000___-1400000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCPER/CS_OFFL_THEM_POINT_ANTARCPER_2022_01_+200000___-1400000__V202.nc,(-77.03739929199219. 171.86990356445312),(-77.93743133544922. 171.25384521484375),(-77.76560974121094. 167.00538635253906),(-76.8777084350586. 167.90524291992188),30
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1700000__+600000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1700000__+600000___V202.nc,(-73.51788330078125. -70.55996704101562),(-73.19590759277344. -67.61986541748047),(-74.0265884399414. -66.37062072753906),(-74.3665771484375. -69.44395446777344),31
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-700000___+1000000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-700000___+1000000__V202.nc,(-78.79986572265625. -34.99201965332031),(-78.04174041748047. -32.47119140625),(-78.5050048828125. -28.61046028137207),(-79.29676055908203. -30.963756561279297),32
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-700000___+1200000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-700000___+1200000__V202.nc,(-77.26444244384766. -30.256437301635742),(-76.47162628173828. -28.300756454467773),(-76.8777084350586. -24.7751407623291),(-77.69757080078125. -26.565052032470703),33
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-2000000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-2000000__V202.nc,(-71.38697052001953. 168.6900634765625),(-72.26692962646484. 168.11134338378906),(-72.05978393554688. 165.25643920898438),(-71.19012451171875. 165.96376037597656),34
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2200000__+300000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2200000__+300000___V202.nc,(-69.7689208984375. 82.23483276367188),(-69.62866973876953. 79.69515228271484),(-68.75094604492188. 80.13419342041016),(-68.88488006591797. 82.56858825683594),35
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-300000___-1000000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-300000___-1000000__V202.nc,(-80.41262817382812. -163.30075073242188),(-81.28480529785156. -161.56504821777344),(-81.52947998046875. -167.47119140625),(-80.63414001464844. -168.6900634765625),36
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-700000___+1400000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-700000___+1400000__V202.nc,(-75.66619873046875. -26.565052032470703),(-74.85054779052734. -25.01689338684082),(-75.21038818359375. -21.801408767700195),(-76.0479736328125. -23.198591232299805),37
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+1900000__+700000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+1900000__+700000___V202.nc,(-71.51943969726562. 69.77513885498047),(-71.19012451171875. 67.16634368896484),(-70.36149597167969. 68.19859313964844),(-70.6756820678711. 70.70995330810547),38
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+1900000__+800000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+1900000__+800000___V202.nc,(-71.19012451171875. 67.16634368896484),(-70.82420349121094. 64.65382385253906),(-70.01182556152344. 65.77225494384766),(-70.36149597167969. 68.19859313964844),39
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-700000___+1600000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-700000___+1600000__V202.nc,(-74.0265884399414. -23.629377365112305),(-73.19590759277344. -22.38013458251953),(-73.51788330078125. -19.440034866333008),(-74.3665771484375. -20.556045532226562),40
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2400000__+200000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+2400000__+200000___V202.nc,(-68.09465026855469. 85.23635864257812),(-68.00263977050781. 82.87498474121094),(-67.12237548828125. 83.1572265625),(-67.21048736572266. 85.42607879638672),41
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-700000___+500000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-700000___+500000___V202.nc,(-82.09477233886719. -54.46232223510742),(-81.52947998046875. -49.398704528808594),(-82.20201110839844. -45.0),(-82.82073974609375. -50.194427490234375),42
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-100000___+2000000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-100000___+2000000__V202.nc,(-71.72007751464844. -2.862405300140381),(-70.82420349121094. -2.726310968399048),(-70.84552001953125. 0.0),(-71.74251556396484. 0.0),43
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-700000___+1300000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-700000___+1300000__V202.nc,(-76.47162628173828. -28.300756454467773),(-75.66619873046875. -26.565052032470703),(-76.0479736328125. -23.198591232299805),(-76.8777084350586. -24.7751407623291),44
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-2100000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-2100000__V202.nc,(-70.50743865966797. 169.2156982421875),(-71.38697052001953. 168.6900634765625),(-71.19012451171875. 165.96376037597656),(-70.32000732421875. 166.6074981689453),45
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-800000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_+400000___-800000___V202.nc,(-81.78154754638672. 153.43495178222656),(-82.5896987915039. 150.25511169433594),(-82.09477233886719. 144.4623260498047),(-81.33318328857422. 147.99461364746094),46
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-700000___+1500000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-700000___+1500000__V202.nc,(-74.85054779052734. -25.01689338684082),(-74.0265884399414. -23.629377365112305),(-74.3665771484375. -20.556045532226562),(-75.21038818359375. -21.801408767700195),47
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1100000__+400000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1100000__+400000___V202.nc,(-79.25769805908203. -70.01689147949219),(-78.91250610351562. -65.55604553222656),(-79.73641967773438. -63.4349479675293),(-80.1109848022461. -68.19859313964844),48
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1100000__+800000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1100000__+800000___V202.nc,(-77.5291519165039. -53.972625732421875),(-76.97328186035156. -50.710594177246094),(-77.6636962890625. -48.012786865234375),(-78.25321960449219. -51.34019088745117),49
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1100000__-1000000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1100000__-1000000__V202.nc,(-76.37969207763672. -132.273681640625),(-76.97328186035156. -129.28941345214844),(-77.6636962890625. -131.98721313476562),(-77.03739929199219. -135.0),50
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1100000__-1100000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1100000__-1100000__V202.nc,(-75.75335693359375. -135.0),(-76.37969207763672. -132.273681640625),(-77.03739929199219. -135.0),(-76.37969207763672. -137.726318359375),51
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-400000___+1600000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-400000___+1600000__V202.nc,(-74.90532684326172. -14.036243438720703),(-74.0265884399414. -13.240519523620605),(-74.20870971679688. -10.007979393005371),(-75.09870147705078. -10.61965560913086),52
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1100000__-1200000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1100000__-1200000__V202.nc,(-75.09870147705078. -137.4895477294922),(-75.75335693359375. -135.0),(-76.37969207763672. -137.726318359375),(-75.6951904296875. -140.19442749023438),53
CS_OFFL_THEM_POINT_ANTARCPER_2022_01_+0________+2100000__V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCPER/CS_OFFL_THEM_POINT_ANTARCPER_2022_01_+0________+2100000__V202.nc,(-70.84552001953125. 0.0),(-69.95079803466797. 0.0),(-69.93050384521484. 2.602562189102173),(-70.82420349121094. 2.726310968399048),54
CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1100000__-700000___V202,2022-01-01T00:00:00+00:00,2022-01-31T23:59:59+00:00,2678399.0,TEMPO_SWATH_POINT,/TEMPO_SWATH_POINT/2022/01/ANTARCTIC/CS_OFFL_THEM_POINT_ANTARCTIC_2022_01_-1100000__-700000___V202.nc,(-78.04174041748047. -122.47119140625),(-78.5050048828125. -118.61045837402344),(-79.29676055908203. -120.96375274658203),(-78.79986572265625. -124.99201965332031),55
